fold,bias,amount_usd,quantity_purchased,session_duration_seconds,days_since_last_purchase,account_age_days,items_viewed_before_purchase
0,0.42311827945523395,0.10073940830191667,0.08771213357551452,-0.07281586059199753,-0.07904605984687264,-0.1105192025415892,-0.02494378059913726
1,0.42459028442870966,0.10058426688358602,0.08576311422492582,-0.0723296898439433,-0.07777146006499307,-0.1122746386212235,-0.023938831568975937
2,0.42330044517603405,0.0993565171243412,0.08822576139732763,-0.0727999583132048,-0.08010879063898817,-0.10991279094146825,-0.02490083444741506
3,0.42326974331004386,0.0987109015071779,0.08562756321814703,-0.0735408350616721,-0.07892670302574252,-0.1102738088591249,-0.023294177525180048
4,0.42531002001852586,0.10022665434212083,0.08673133205742513,-0.07283899803412261,-0.07959212894704729,-0.1110484825225986,-0.024834815057142683
5,0.42431463052065654,0.098551898118091,0.08618818150455775,-0.07426840951918584,-0.07847166213586801,-0.11072757344084376,-0.02374750528495406
6,0.4248973692365557,0.09953207032038447,0.0867939585616454,-0.07098321506957236,-0.07855056369961308,-0.11069523129676462,-0.02368205568062874
7,0.42357740855642056,0.09756358225232403,0.08679543166391347,-0.07383748361593835,-0.07910212387044248,-0.11098552875000754,-0.024158396400440804
8,0.4246395037397127,0.09827397912951878,0.08740716291529138,-0.07302850601493521,-0.07825452460941001,-0.11194000414507745,-0.024942088053442633
9,0.4238099427325538,0.09864640896291155,0.08770451661482323,-0.07273575100955569,-0.07800693827648178,-0.11003934583505111,-0.0239249022457567
