k,fold,n_train,n_test,positivos_test,mse_test,accuracy,precision,recall,f1
2,0,3749.0,3751.0,435.0,0.0281277332312737,0.9720074646760865,0.8855140186915887,0.871264367816092,0.8783314020857473
2,1,3751.0,3749.0,434.0,0.0255970740012833,0.9751933849026408,0.949868073878628,0.8294930875576036,0.8856088560885608
3,0,4999.0,2501.0,290.0,0.0280169507232846,0.9732107157137144,0.8885017421602788,0.8793103448275862,0.8838821490467937
3,1,5000.0,2500.0,290.0,0.025965851014535,0.9712,0.9067164179104478,0.8379310344827586,0.8709677419354838
3,2,5001.0,2499.0,289.0,0.0257399941654078,0.976390556222489,0.9423076923076924,0.8477508650519031,0.8925318761384335
5,0,5999.0,1501.0,174.0,0.0277465279168573,0.9793471019320452,0.8994413407821229,0.9252873563218392,0.9121813031161472
5,1,6000.0,1500.0,174.0,0.0269863269559506,0.966,0.8727272727272727,0.8275862068965517,0.8495575221238938
5,2,6000.0,1500.0,174.0,0.0266703044549484,0.9713333333333334,0.8875739644970414,0.8620689655172413,0.8746355685131195
5,3,6000.0,1500.0,174.0,0.0257123237505683,0.9733333333333334,0.9407894736842104,0.8218390804597702,0.8773006134969326
5,4,6001.0,1499.0,173.0,0.0257821162755904,0.9773182121414276,0.9426751592356688,0.8554913294797688,0.8969696969696971
10,0,6749.0,751.0,87.0,0.0258360604348298,0.9813581890812252,0.9101123595505618,0.9310344827586208,0.9204545454545454
10,1,6750.0,750.0,87.0,0.0295126105783748,0.9786666666666668,0.898876404494382,0.9195402298850576,0.9090909090909092
10,2,6750.0,750.0,87.0,0.0296579135945405,0.968,0.8888888888888888,0.8275862068965517,0.8571428571428572
10,3,6750.0,750.0,87.0,0.0246428906156146,0.964,0.8571428571428571,0.8275862068965517,0.8421052631578947
10,4,6750.0,750.0,87.0,0.0296636103624962,0.9706666666666668,0.8823529411764706,0.8620689655172413,0.872093023255814
10,5,6750.0,750.0,87.0,0.0240349466603823,0.972,0.8928571428571429,0.8620689655172413,0.8771929824561403
10,6,6750.0,750.0,87.0,0.0265637242358722,0.9706666666666668,0.9333333333333332,0.8045977011494253,0.8641975308641976
10,7,6750.0,750.0,87.0,0.0250845755849647,0.972,0.9125,0.8390804597701149,0.8742514970059879
10,8,6750.0,750.0,87.0,0.0252938328634887,0.9813333333333332,0.9397590361445785,0.896551724137931,0.9176470588235294
10,9,6751.0,749.0,86.0,0.0262301072967548,0.973297730307076,0.945945945945946,0.813953488372093,0.875
