lr,seed,mse_test,mse_train,wnorm,accuracy,precision,recall,f1
1e-05,7,0.0262140801873816,0.02611405842690396,0.1944761166265507,0.8382673493336368,0.41636606146954575,0.9850508271875624,0.585318742538911
1e-05,13,0.02621524332663002,0.02611457593147392,0.1945612622146316,0.8396039718536171,0.41886325760008375,0.9850375390339513,0.5876503455584258
1e-05,21,0.02618979215396412,0.026116689731463923,0.19447381362386704,0.8395997042369056,0.41833956000580175,0.9827386884592386,0.5868296101170282
1e-05,42,0.02624596011364862,0.02611140026419484,0.19460938377375447,0.8385327709627131,0.4168268095717581,0.983888113746595,0.585528690704909
1e-05,99,0.026213241238584824,0.026114496352415962,0.19459004502941793,0.8389325935404119,0.4173058976302201,0.9827453325360441,0.5858028023861014
0.0001,7,0.02647082939508848,0.02635447008195272,0.20212051704518746,0.8425329499257556,0.4230992022477845,0.987349677762275,0.592349733644437
0.0001,13,0.026536539641112123,0.02642325890176626,0.2028940433097824,0.8440038837350594,0.4261425190377522,0.9907913095475385,0.5958130041065045
0.0001,21,0.02643651608941086,0.02636243850200868,0.20205932689975464,0.8430661939553454,0.42400557002142253,0.9873430336854694,0.593221700132133
0.0001,42,0.026579519870782997,0.02641975095788616,0.2031640650069509,0.8426663713776466,0.42351816056270647,0.9873430336854694,0.5927113699520634
0.0001,99,0.02651221315675868,0.026397898846219597,0.20326546898214332,0.8414661053627135,0.4216138407144744,0.9884924589728257,0.591060741551792
0.001,7,0.04502429246245458,0.0446781783940746,0.27819103530011785,0.8198653005623558,0.3915986585771445,1.0,0.5627541081398193
0.001,13,0.04607844803007346,0.0459110482934469,0.28047633410174644,0.8246709914685889,0.3984269088463043,1.0,0.5696719961753145
0.001,21,0.04528200383674704,0.0451907578285489,0.27925460837696053,0.8202632574799663,0.3923739645973532,1.0,0.5634810327061022
0.001,42,0.04712707394723572,0.046744961025088,0.2830727433862851,0.8171988117920644,0.38821335849224425,1.0,0.5592197317234228
0.001,99,0.046424634434929,0.04613019538585406,0.2841421271766932,0.8171983681177932,0.3884292080347963,1.0,0.559385043935282
