lr,seed,fold,threshold,accuracy,precision,recall,f1
0.0001,7,0,0.01,0.12924716855429713,0.1174881836596894,1.0,0.21027190332326282
0.0001,7,0,0.02,0.13191205862758162,0.11780636425186188,1.0,0.21078134463961234
0.0001,7,0,0.03,0.13391072618254496,0.11804613297150611,1.0,0.21116504854368934
0.0001,7,0,0.04,0.13524317121918722,0.11820652173913043,1.0,0.21142162818955043
0.0001,7,0,0.05,0.13657561625582945,0.11836734693877551,1.0,0.2116788321167883
0.0001,7,0,0.06,0.14123917388407728,0.11893369788106631,1.0,0.21258399511301163
0.0001,7,0,0.07,0.14656895403064624,0.11958762886597939,1.0,0.2136279926335175
0.0001,7,0,0.08,0.1492338441039307,0.11991729841488628,1.0,0.21415384615384617
0.0001,7,0,0.09,0.15722851432378415,0.12091730368311328,1.0,0.2157470551766894
0.0001,7,0,0.1,0.1625582944703531,0.12159329140461216,1.0,0.21682242990654207
0.0001,7,0,0.11,0.16855429713524317,0.12236286919831224,1.0,0.21804511278195488
0.0001,7,0,0.12,0.17521652231845436,0.12322946175637393,1.0,0.21941992433795715
0.0001,7,0,0.13,0.17854763491005995,0.12366737739872068,1.0,0.22011385199240985
0.0001,7,0,0.14,0.18787475016655564,0.1249102656137832,1.0,0.2220804084237396
0.0001,7,0,0.15,0.19986675549633579,0.12654545454545454,1.0,0.22466107165913493
0.0001,7,0,0.16,0.20986009327115257,0.12794117647058822,1.0,0.22685788787483702
0.0001,7,0,0.17,0.22051965356429049,0.12946428571428573,1.0,0.22924901185770752
0.0001,7,0,0.18,0.23650899400399733,0.1318181818181818,1.0,0.2329317269076305
0.0001,7,0,0.19,0.24783477681545638,0.1335379892555641,1.0,0.23561272850372378
0.0001,7,0,0.2,0.25916055962691537,0.13530326594090203,1.0,0.23835616438356164
0.0001,7,0,0.21,0.2798134576948701,0.13864541832669322,1.0,0.24352694191742477
0.0001,7,0,0.22,0.2931379080612925,0.1408906882591093,1.0,0.24698367636621718
0.0001,7,0,0.23,0.31379080612924715,0.14451827242524917,1.0,0.2525399129172714
0.0001,7,0,0.24,0.335109926715523,0.14846416382252559,1.0,0.2585438335809807
0.0001,7,0,0.25,0.34843437708194536,0.15104166666666666,1.0,0.2624434389140271
