fold,n_train,n_test,threshold,learning_rate,epochs_run,final_mse_train,mse_test,tp,fp,fn,tn,accuracy,precision,recall,f1,tpr,fpr
0,6749.0,751.0,0.89,0.01,500.0,0.01092938023246389,0.011224794794364435,81.0,7.0,6.0,657.0,0.9826897470039947,0.9204545454545454,0.9310344827586207,0.9257142857142858,0.9310344827586207,0.010542168674698794
1,6750.0,750.0,0.89,0.01,500.0,0.010964402700485426,0.010897922857933177,79.0,7.0,8.0,656.0,0.98,0.9186046511627907,0.9080459770114943,0.9132947976878613,0.9080459770114943,0.010558069381598794
2,6750.0,750.0,0.89,0.01,500.0,0.010824410066675358,0.012155991913758149,70.0,14.0,17.0,649.0,0.9586666666666667,0.8333333333333334,0.8045977011494253,0.8187134502923976,0.8045977011494253,0.021116138763197588
3,6750.0,750.0,0.89,0.01,500.0,0.010985185318848385,0.010719668325664445,74.0,15.0,13.0,648.0,0.9626666666666667,0.8314606741573034,0.8505747126436781,0.8409090909090909,0.8505747126436781,0.02262443438914027
4,6750.0,750.0,0.89,0.01,500.0,0.011082420249317722,0.009828067763597065,75.0,9.0,12.0,654.0,0.972,0.8928571428571429,0.8620689655172413,0.8771929824561403,0.8620689655172413,0.013574660633484163
5,6750.0,750.0,0.89,0.01,500.0,0.011005723871432836,0.010545896456941388,73.0,8.0,14.0,655.0,0.9706666666666667,0.9012345679012346,0.8390804597701149,0.8690476190476191,0.8390804597701149,0.012066365007541479
6,6750.0,750.0,0.89,0.01,500.0,0.010933347100812129,0.011267712968384098,71.0,11.0,16.0,652.0,0.964,0.8658536585365854,0.8160919540229885,0.8402366863905325,0.8160919540229885,0.016591251885369532
7,6750.0,750.0,0.89,0.01,500.0,0.010906277494218297,0.011411597823827335,71.0,8.0,16.0,655.0,0.968,0.8987341772151899,0.8160919540229885,0.8554216867469879,0.8160919540229885,0.012066365007541479
8,6750.0,750.0,0.89,0.01,500.0,0.010908232034707912,0.011432061477893232,81.0,6.0,6.0,657.0,0.984,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.00904977375565611
9,6751.0,749.0,0.89,0.01,500.0,0.011026149343397112,0.010399921721219878,69.0,10.0,17.0,653.0,0.9639519359145527,0.8734177215189873,0.8023255813953488,0.8363636363636363,0.8023255813953488,0.015082956259426848
mean,6750.0,750.0,0.89,0.009999999999999998,500.0,0.010956552841235905,0.01098836361035832,74.4,9.5,12.5,653.6,0.9706641682918548,0.8866984954895732,0.8560946271050522,0.8707928718367173,0.8560946271050522,0.014327218375765505
std,0.4472135954999579,0.4472135954999579,0.0,1.734723475976807e-18,0.0,6.898303240023034e-05,0.0006198379463278399,4.2708313008125245,2.8722813232690143,4.153311931459037,2.973213749463701,0.008460876016552205,0.03320719958338836,0.04798960524938171,0.03802166090446147,0.04798960524938171,0.004333635739649638
