perceptron,lr,seed,fold,mse_train,mse_test,accuracy,precision,recall,f1,wnorm,bias
nonlinear,0.01,42,0,0.0109335437803618,0.0110569704364912,0.7748167888074617,0.33984375,1.0,0.5072886297376094,1.9522951464361884,-0.0547058480491958
nonlinear,0.01,42,1,0.0108380013714714,0.0114379015675424,0.7553333333333333,0.321626617375231,1.0,0.4867132867132867,1.9823948408869443,-0.0530750099318493
nonlinear,0.01,42,2,0.0111495357533456,0.0101980684383359,0.7793333333333333,0.3445544554455445,1.0,0.512518409425626,1.9652036713718284,-0.0364760093472738
nonlinear,0.01,42,3,0.010873041392786,0.0113355500170111,0.766,0.3314285714285714,1.0,0.4978540772532188,2.004087561104079,-0.0321337199771423
nonlinear,0.01,42,4,0.0109776629596474,0.0109266919692118,0.7725150100066711,0.3365758754863813,1.0,0.5036390101892285,2.0028343933318493,-0.0302740217260957
nonlinear,0.01,7,0,0.01072004029439,0.011913203431108,0.7734843437708194,0.3385214007782101,1.0,0.5058139534883721,1.960050253145177,-0.0422243072416237
nonlinear,0.01,7,1,0.0111237641259448,0.0102930613312069,0.7626666666666667,0.3283018867924528,1.0,0.4943181818181818,1.9928245514985607,-0.0437845213269518
nonlinear,0.01,7,2,0.0109711790178098,0.0109243186358453,0.772,0.3372093023255814,1.0,0.5043478260869565,1.9896329566131012,-0.03699943582887
nonlinear,0.01,7,3,0.0111614639127884,0.0101629612210945,0.7646666666666667,0.3301707779886148,1.0,0.4964336661911556,1.977575595936531,-0.0283748629532145
nonlinear,0.01,7,4,0.0107897997045013,0.0116431957684618,0.7691794529686458,0.3333333333333333,1.0,0.5,1.963767516670307,-0.0505354095428442
nonlinear,0.01,13,0,0.0108805203590987,0.0112890438821201,0.7588274483677548,0.3246268656716418,1.0,0.4901408450704225,1.9475858487764324,-0.0695309798240361
nonlinear,0.01,13,1,0.0111332020713448,0.010289909994248,0.7633333333333333,0.328922495274102,1.0,0.4950213371266002,1.9445504278886871,-0.0511301457407165
nonlinear,0.01,13,2,0.0106818162810114,0.0120759994102992,0.7686666666666667,0.3339731285988483,1.0,0.5007194244604317,2.011314823164728,-0.0467248971513819
nonlinear,0.01,13,3,0.0110490756460157,0.0106416240157149,0.7666666666666667,0.3320610687022901,1.0,0.498567335243553,1.9724576303406205,-0.0436560207971915
nonlinear,0.01,13,4,0.0110347745781893,0.0106939624132305,0.7891927951967979,0.3537832310838446,1.0,0.5226586102719034,2.0155284049408406,8.642646172930525e-05
nonlinear,0.01,21,0,0.0108794660927162,0.011333144460971,0.7901399067288475,0.3558282208588957,1.0,0.5248868778280543,1.9810783124257905,-0.0360460819729148
nonlinear,0.01,21,1,0.0108505195672245,0.0114410906319824,0.7673333333333333,0.3326959847036329,1.0,0.4992826398852223,1.9809210057734512,-0.0546159313551819
nonlinear,0.01,21,2,0.0111789875632053,0.010096487630553,0.77,0.3352601156069364,1.0,0.5021645021645021,1.9903130408027114,-0.0352106709405941
nonlinear,0.01,21,3,0.0110179895456958,0.0107534898974744,0.7753333333333333,0.3405088062622309,1.0,0.5080291970802919,1.9625690247468133,-0.0511742865098915
nonlinear,0.01,21,4,0.0108686686149611,0.0113235134876439,0.7484989993328885,0.3145454545454546,1.0,0.4785615491009682,1.9818073547481343,-0.0429395890658432
nonlinear,0.01,99,0,0.0110040506939001,0.0108019248895841,0.7754830113257828,0.3405088062622309,1.0,0.5080291970802919,1.9781418092358838,-0.0309760047778407
nonlinear,0.01,99,1,0.0108001615500553,0.0116068845926987,0.744,0.3118279569892473,1.0,0.4754098360655738,1.9596467195656384,-0.0484183013452667
nonlinear,0.01,99,2,0.0108206198787087,0.0115308066811034,0.7746666666666666,0.33984375,1.0,0.5072886297376094,1.988812834783987,-0.0358306042275055
nonlinear,0.01,99,3,0.0109936276348899,0.0108510587352063,0.7793333333333333,0.3445544554455445,1.0,0.512518409425626,1.9717395997856155,-0.0374614496366942
nonlinear,0.01,99,4,0.0111609557571318,0.0101516597315626,0.7638425617078052,0.3282732447817836,1.0,0.4942857142857143,2.0025142262233318,-0.028358291888206
nonlinear,0.001,42,0,0.010931205660466,0.011062647261058,0.7728181212524984,0.3378640776699029,1.0,0.5050798258345428,1.9552612405807177,-0.0517394043290812
nonlinear,0.001,42,1,0.0108359065734738,0.0114339864680999,0.7533333333333333,0.3198529411764705,1.0,0.4846796657381615,1.9841196508738377,-0.0487518603084285
nonlinear,0.001,42,2,0.0111455419569854,0.0102181174332279,0.7766666666666666,0.3418467583497053,1.0,0.5095168374816984,1.9665361897008742,-0.0293824273790023
nonlinear,0.001,42,3,0.0108699922895857,0.0113179741609467,0.764,0.3295454545454545,1.0,0.4957264957264957,2.0046631632394205,-0.0257567188494108
nonlinear,0.001,42,4,0.0109731033137877,0.0109062232445085,0.771180787191461,0.3352713178294573,1.0,0.5021770682148041,2.005107013047992,-0.0230224955807977
nonlinear,0.001,7,0,0.0107178274022353,0.0119137694809521,0.7721518987341772,0.3372093023255814,1.0,0.5043478260869565,1.9656845982604065,-0.0358959545395206
nonlinear,0.001,7,1,0.0111216807107065,0.0102921257965343,0.762,0.327683615819209,1.0,0.4936170212765957,1.99874450778725,-0.0384124500092419
nonlinear,0.001,7,2,0.0109699797759752,0.0109168115218695,0.7713333333333333,0.3365570599613153,1.0,0.5036179450072359,1.9963510046910447,-0.032369884118804
nonlinear,0.001,7,3,0.0111602767612916,0.0101597551084843,0.764,0.3295454545454545,1.0,0.4957264957264957,1.9835915606305614,-0.0250798014220447
nonlinear,0.001,7,4,0.0107877465568065,0.0116409607527996,0.7691794529686458,0.3333333333333333,1.0,0.5,1.968334571590144,-0.0456671267123914
nonlinear,0.001,13,0,0.0108767440389861,0.0112822861232134,0.7581612258494337,0.3240223463687151,1.0,0.4894514767932489,1.9522453202812486,-0.0627019054167722
