opt,lr,batch,val_acc_final_mean,macro_f1_mean,val_loss_final_mean,val_acc_final_std,macro_f1_std,val_loss_final_std,n
adam,0.0005,16,0.9565839771155773,0.8516590928156214,0.16927107402799618,0.005028380938748872,0.008338918667699001,0.018980861820785403,10
adam,0.0005,64,0.9551373861707221,0.8496008383816512,0.17043205291622432,0.005175293109246953,0.00789944222308108,0.019139599098833265,10
adam,0.0005,256,0.9536106357849705,0.8479520958008988,0.17609373218102262,0.005510118721722665,0.00885560100693216,0.021944768681557373,10
adam,0.001,16,0.9540526456339695,0.8473857326608911,0.17918477059217858,0.004253426512779199,0.007406725274802497,0.02413203133474907,10
adam,0.001,64,0.9562618849655162,0.850622040201246,0.16968850053026102,0.004192262690284294,0.007406845507162,0.018925688177205698,10
adam,0.001,256,0.9538119390225999,0.8478375937092615,0.17462187969192733,0.004850532241524496,0.008362313681514362,0.020818587541165934,10
adam,0.005,16,0.9344125456535327,0.8309797403468601,0.550249788361447,0.008993820631347295,0.010758538172396654,0.09614202254589363,10
adam,0.005,64,0.9430907023831632,0.8369287634424781,0.2577603930500745,0.009852589080859687,0.010966439998492823,0.03431322281167872,10
adam,0.005,256,0.9541321276647043,0.8489654703458746,0.19088140916309015,0.005332000091672381,0.008156869085940242,0.02403354158303964,10
momentum,0.0005,16,0.9498368870544711,0.8435291032751575,0.19226148395966042,0.005848085047409431,0.00931673032553991,0.016889093866015864,10
momentum,0.0005,64,0.9490739152629244,0.8429519535387306,0.19465801972703467,0.0056892343339593225,0.009417584166449873,0.01584623317744492,10
momentum,0.0005,256,0.938671027596522,0.8319270478560746,0.22665686569033525,0.004630596898047799,0.008307960641474947,0.012843107285588731,10
momentum,0.001,16,0.9502778641423202,0.8440826741198061,0.1905699228747512,0.0059722526681446455,0.009597820009663369,0.01874119456902246,10
momentum,0.001,64,0.949033415961115,0.8428010115933521,0.19386025280191246,0.005599436833899051,0.0092501284415375,0.01622286579293021,10
momentum,0.001,256,0.9392735508037366,0.8325222220710209,0.22398393768723243,0.004390613301686747,0.00850468699100243,0.012893572222070864,10
momentum,0.005,16,0.9532505930974322,0.8476340004145015,0.19713961083738,0.005859736290261392,0.009141210231516643,0.02261439328727019,10
momentum,0.005,64,0.9507194215557668,0.8446945936330273,0.19013610142338563,0.00528775254177336,0.008494852274462316,0.019177198852852954,10
momentum,0.005,256,0.9473464096558345,0.8410331562852953,0.1970576310775053,0.005458552757579011,0.008790268237070676,0.014515210413301958,10
sgd,0.0005,16,0.9480698824934016,0.8416040774345899,0.1961694606958862,0.0051988260289267205,0.008871077931127885,0.015242114981071623,10
sgd,0.0005,64,0.9354977381055207,0.8282825776111059,0.2371354011233963,0.003919562136152307,0.007021678677712309,0.01269594144071057,10
sgd,0.0005,256,0.9025223926556745,0.779976727527503,0.35330462073603797,0.0032133068444073322,0.0075993028975124425,0.011360677560324401,10
sgd,0.001,16,0.9494752639517909,0.8433345844906668,0.194614834352545,0.005720327465431074,0.00945008819556772,0.016045567411095214,10
sgd,0.001,64,0.9393538399996786,0.8327464691979563,0.2237311619030919,0.00436763872858168,0.008449482132032895,0.012935341062886354,10
sgd,0.001,256,0.9122417580445561,0.7961378615386717,0.3188832797684794,0.004038306931743333,0.007093867779825328,0.012061400187684075,10
sgd,0.005,16,0.9497565014485545,0.8435485634801918,0.19204130400040634,0.006000140082213243,0.009609194368718155,0.01673698724767105,10
sgd,0.005,64,0.9473470547556907,0.8409702489010769,0.19796074840479833,0.005564567435206689,0.009278138283084807,0.014459643479109262,10
sgd,0.005,256,0.9321644826507614,0.8237916056479635,0.2469349899570441,0.0045275148470321986,0.007804202588251433,0.012649607143975835,10
