fold,n_train,n_test,threshold,learning_rate,epochs_run,final_mse_train,mse_test,tp,fp,fn,tn,accuracy,precision,recall,f1,tpr,fpr
0,6749.0,751.0,0.69,0.0001,500.0,0.026701890531010172,0.025836060434829885,81.0,8.0,6.0,656.0,0.9813581890812251,0.9101123595505618,0.9310344827586207,0.9204545454545454,0.9310344827586207,0.012048192771084338
1,6750.0,750.0,0.69,0.0001,500.0,0.026306503693554827,0.029512610578374895,80.0,9.0,7.0,654.0,0.9786666666666667,0.898876404494382,0.9195402298850575,0.9090909090909091,0.9195402298850575,0.013574660633484163
2,6750.0,750.0,0.69,0.0001,500.0,0.026258089828003782,0.029657913594540532,72.0,9.0,15.0,654.0,0.968,0.8888888888888888,0.8275862068965517,0.8571428571428572,0.8275862068965517,0.013574660633484163
3,6750.0,750.0,0.69,0.0001,500.0,0.026667936147963364,0.024642890615614674,72.0,12.0,15.0,651.0,0.964,0.8571428571428571,0.8275862068965517,0.8421052631578947,0.8275862068965517,0.01809954751131222
4,6750.0,750.0,0.69,0.0001,500.0,0.026290834425030458,0.02966361036249629,75.0,10.0,12.0,653.0,0.9706666666666667,0.8823529411764706,0.8620689655172413,0.872093023255814,0.8620689655172413,0.015082956259426848
5,6750.0,750.0,0.69,0.0001,500.0,0.026750291088969695,0.024034946660382365,75.0,9.0,12.0,654.0,0.972,0.8928571428571429,0.8620689655172413,0.8771929824561403,0.8620689655172413,0.013574660633484163
6,6750.0,750.0,0.69,0.0001,500.0,0.02651250859709021,0.026563724235872218,70.0,5.0,17.0,658.0,0.9706666666666667,0.9333333333333333,0.8045977011494253,0.8641975308641976,0.8045977011494253,0.007541478129713424
7,6750.0,750.0,0.69,0.0001,500.0,0.026600795367756804,0.025084575584964748,73.0,7.0,14.0,656.0,0.972,0.9125,0.8390804597701149,0.8742514970059879,0.8390804597701149,0.010558069381598794
8,6750.0,750.0,0.69,0.0001,500.0,0.02658874103696588,0.025293832863488706,78.0,5.0,9.0,658.0,0.9813333333333333,0.9397590361445783,0.896551724137931,0.9176470588235294,0.896551724137931,0.007541478129713424
9,6751.0,749.0,0.69,0.0001,500.0,0.026491114597202443,0.02623010729675485,70.0,4.0,16.0,659.0,0.9732977303070761,0.9459459459459459,0.813953488372093,0.875,0.813953488372093,0.006033182503770739
mean,6750.0,750.0,0.6899999999999998,0.0001,500.0,0.026516870531354764,0.026652027222731918,74.6,7.8,12.3,655.3,0.9731989252721635,0.906176890953416,0.8584068430900829,0.8809175667251875,0.8584068430900829,0.011762888658707229
std,0.4472135954999579,0.4472135954999579,1.1102230246251565e-16,0.0,0.0,0.0001693350229877476,0.0020573496492577274,3.7469987990390385,2.4,3.6345563690772495,2.4103941586387903,0.005385134166004161,0.026464665228274325,0.0419985429287684,0.024956674451715354,0.0419985429287684,0.0036197621691342464
