perceptron,lr,seed,fold,mse_train,mse_test,accuracy,precision,recall,f1,wnorm,bias
linear,0.001,42,0,0.0465370153257352,0.0589749041715541,0.820786142571619,0.3927765237020316,1.0,0.5640194489465155,0.2843753951047937,0.4531277197626265
linear,0.001,42,1,0.0465743378288485,0.0485044812652621,0.8046666666666666,0.3725910064239828,1.0,0.5429017160686428,0.28266848351996315,0.4515846962400504
linear,0.001,42,2,0.0464600151921909,0.0488865584522723,0.8266666666666667,0.4009216589861751,1.0,0.5723684210526316,0.28259022043340826,0.4543117597730893
linear,0.001,42,3,0.0472783433898514,0.0422283205131322,0.822,0.3945578231292517,1.0,0.5658536585365853,0.28267950406044456,0.4535849177786608
linear,0.001,42,4,0.046875093388814,0.0370411053339579,0.8118745830553702,0.3802197802197802,1.0,0.5509554140127388,0.2830501138128161,0.4526530251204267
linear,0.001,7,0,0.0441371981993673,0.0467453488829377,0.820786142571619,0.3927765237020316,1.0,0.5640194489465155,0.2776002080150157,0.4508578035239148
linear,0.001,7,1,0.0443638552656856,0.0373667465380836,0.8233333333333334,0.3963553530751708,1.0,0.567699836867863,0.27648292617187653,0.4490830812600735
linear,0.001,7,2,0.0447994003397229,0.0419863329103618,0.828,0.4027777777777778,1.0,0.5742574257425743,0.2778085239237117,0.451315785373487
linear,0.001,7,3,0.0444499684370236,0.0454066467801551,0.8166666666666667,0.3875278396436525,1.0,0.5585874799357945,0.27767195421279894,0.4519199101230528
linear,0.001,7,4,0.0456404697285736,0.0536163872007347,0.8105403602401601,0.3785557986870897,1.0,0.5492063492063491,0.28139156417718636,0.4512278692213632
linear,0.001,13,0,0.0450995396281041,0.0563727997026181,0.8107928047968022,0.3799126637554585,1.0,0.550632911392405,0.2812502170566047,0.4470518309448311
linear,0.001,13,1,0.0448829944565239,0.0501957554426218,0.8253333333333334,0.3990825688073394,1.0,0.5704918032786885,0.2786544081198681,0.449128942508834
linear,0.001,13,2,0.0463002132624991,0.0435799028854528,0.8213333333333334,0.3936651583710407,1.0,0.564935064935065,0.2813313416227785,0.4486434621682886
linear,0.001,13,3,0.0453876149759647,0.0441700852252113,0.8226666666666667,0.3954545454545454,1.0,0.5667752442996742,0.27891589717593035,0.4492970031922427
linear,0.001,13,4,0.0478848791441427,0.0360736968944633,0.8432288192128086,0.4240196078431372,1.0,0.59552495697074,0.28222980653355056,0.4550887588617391
linear,0.001,21,0,0.0459254274024959,0.0425504407517034,0.8361092604930047,0.4142857142857143,1.0,0.5858585858585859,0.2805865931948911,0.4521906805377552
linear,0.001,21,1,0.045035157546092,0.0440080155659339,0.8106666666666666,0.3799126637554585,1.0,0.550632911392405,0.27822248709945885,0.4494023950367446
linear,0.001,21,2,0.0454360195365079,0.0429693349200161,0.822,0.3945578231292517,1.0,0.5658536585365853,0.2797136301778105,0.4516466004695886
linear,0.001,21,3,0.0450132224896798,0.0507539210182385,0.822,0.3945578231292517,1.0,0.5658536585365853,0.2798627576003252,0.4510738208343636
linear,0.001,21,4,0.0445439621679689,0.0461283069278433,0.8105403602401601,0.3785557986870897,1.0,0.5492063492063491,0.27788757381231705,0.4505333226912023
linear,0.001,99,0,0.0461132456135452,0.0474991712636694,0.826782145236509,0.4009216589861751,1.0,0.5723684210526316,0.2842022052862054,0.4520694175952671
linear,0.001,99,1,0.0445310983763981,0.0515597087913167,0.7973333333333333,0.3640167364016736,1.0,0.5337423312883435,0.28269741081953564,0.4500992671214694
linear,0.001,99,2,0.046817197923091,0.0502709279406017,0.824,0.3972602739726027,1.0,0.5686274509803921,0.2868337783700852,0.4524892421450874
linear,0.001,99,3,0.0465866145564614,0.0488022053949274,0.8233333333333334,0.3963553530751708,1.0,0.567699836867863,0.28475784645338575,0.451950134600749
linear,0.001,99,4,0.0466028204597746,0.0339911587841298,0.8145430286857905,0.3835920177383592,1.0,0.5544871794871795,0.282219394954254,0.450700463534568
linear,0.0001,42,0,0.0263734627545134,0.0277465279168573,0.8401065956029313,0.4191176470588235,0.9827586206896552,0.5876288659793815,0.20469951553305535,0.4232720451787261
linear,0.0001,42,1,0.0263091272755519,0.0269863269559506,0.8373333333333334,0.4150485436893203,0.9827586206896552,0.583617747440273,0.20288702026886396,0.4220384571173813
linear,0.0001,42,2,0.0264390223700304,0.0266703044549484,0.842,0.4222222222222222,0.9827586206896552,0.5906735751295337,0.20379302037618727,0.4255503469203138
linear,0.0001,42,3,0.0265141958060351,0.0257123237505683,0.856,0.4461538461538462,1.0,0.6170212765957447,0.20185835958390458,0.4242104713206598
linear,0.0001,42,4,0.0264629465833,0.0257821162755904,0.837891927951968,0.4150485436893203,0.9884393063583816,0.5846153846153845,0.20258240927274365,0.4241787138228454
linear,0.0001,7,0,0.0260093603813062,0.0277982570604533,0.8447701532311792,0.42643391521197,0.9827586206896552,0.5947826086956521,0.20182130552389926,0.4235064513500285
linear,0.0001,7,1,0.0264400783974429,0.0256839748209626,0.84,0.4195121951219512,0.9885057471264368,0.5890410958904109,0.20286913722618607,0.4220416694289725
linear,0.0001,7,2,0.0265126724665257,0.025778135722798,0.8446666666666667,0.4267990074441687,0.9885057471264368,0.5961871750433275,0.20168254730836355,0.4234577049860922
linear,0.0001,7,3,0.0264287157682996,0.0262233658298832,0.8413333333333334,0.4211822660098522,0.9827586206896552,0.5896551724137931,0.2013372189484391,0.4244230431357705
linear,0.0001,7,4,0.0263815233961892,0.0268704135413453,0.8418945963975984,0.4215686274509804,0.9942196531791908,0.5920826161790017,0.2028923762190494,0.4230707883240295
linear,0.0001,13,0,0.0260816014302182,0.0285706232419193,0.8314457028647568,0.4057279236276849,0.9770114942528736,0.5733558178752107,0.2033367942881626,0.4211850290847146
linear,0.0001,13,1,0.0261630335798961,0.0278768090615076,0.8446666666666667,0.4275184275184275,1.0,0.5989672977624785,0.2022371273728627,0.4233222337974302
linear,0.0001,13,2,0.0265549654533594,0.0258232683396064,0.8453333333333334,0.4282178217821782,0.9942528735632185,0.5986159169550174,0.20423669703050085,0.4235002377863142
linear,0.0001,13,3,0.0263505571397201,0.0266739020615904,0.838,0.416867469879518,0.9942528735632185,0.5874363327674024,0.20268268570587428,0.4232149743701786
linear,0.0001,13,4,0.0269661369056375,0.0237380955009369,0.8605737158105403,0.4523809523809524,0.9884393063583816,0.6206896551724138,0.2019769121515116,0.4272269778642527
