fold,bias,amount_usd,quantity_purchased,session_duration_seconds,days_since_last_purchase,account_age_days,items_viewed_before_purchase
0,-0.04919612949082729,1.5398752569058516,0.7951399666633536,-0.450483602571669,-0.5467780893363167,-0.632159081352335,-0.13292485965495615
1,-0.04631871912357624,1.5133695902967383,0.7889172722585269,-0.449299464081057,-0.5397166983816785,-0.6342092368559243,-0.13218302942899046
2,-0.050220625070031846,1.5259922382280482,0.794622506026453,-0.45244449282455895,-0.5503980331857847,-0.6325390170664957,-0.13387909992428904
3,-0.04381479363176269,1.5565550637354393,0.7941353783350547,-0.4510426860991322,-0.5440822787286078,-0.6294359604312796,-0.1342788166782056
4,-0.04463335749042354,1.5133279928613612,0.7896458515130135,-0.4486963567509156,-0.5475590960308545,-0.6313110377580388,-0.13579937046645515
5,-0.035223278771119824,1.5536311775351348,0.7992836829055043,-0.45373171688661795,-0.5358802882333388,-0.6301298648216436,-0.1310328779112994
6,-0.037968954288996826,1.5492575271509266,0.7921532399883718,-0.4429734613483145,-0.5433387174582086,-0.628642957055374,-0.13283766854892004
7,-0.03675886945375962,1.5586849305967614,0.8011009893273534,-0.4546900602484708,-0.5456011879563636,-0.6352871584314342,-0.13120579570747404
8,-0.037909947110549465,1.5486181760137683,0.8002969186802846,-0.44339175906406664,-0.541891003425374,-0.6439240408108418,-0.14069857191176913
9,-0.03681609184211384,1.5624512088192655,0.7879022744869362,-0.4446320664014621,-0.5369045036105944,-0.6299859030993751,-0.1373286134648278
