k,fold,n_train,n_test,positivos_test,mse_test,accuracy,precision,recall,f1
2,0,3749.0,3751.0,435.0,0.01095742770785,0.971207677952546,0.8758620689655172,0.8758620689655172,0.8758620689655172
2,1,3751.0,3749.0,434.0,0.0109694527989029,0.9701253667644704,0.896551724137931,0.8387096774193549,0.8666666666666666
3,0,4999.0,2501.0,290.0,0.0113017931247973,0.9720111955217912,0.8793103448275862,0.8793103448275862,0.8793103448275863
3,1,5000.0,2500.0,290.0,0.0106096401463244,0.9684,0.8836363636363637,0.8379310344827586,0.8601769911504424
3,2,5001.0,2499.0,289.0,0.0109921544785415,0.9719887955182072,0.9010989010989012,0.8512110726643599,0.8754448398576512
5,0,5999.0,1501.0,174.0,0.0110569704364912,0.9813457694870088,0.9195402298850576,0.9195402298850576,0.9195402298850576
5,1,6000.0,1500.0,174.0,0.0114379015675424,0.9606666666666668,0.8323699421965318,0.8275862068965517,0.8299711815561961
5,2,6000.0,1500.0,174.0,0.0101980684383359,0.972,0.8975903614457831,0.8563218390804598,0.8764705882352941
5,3,6000.0,1500.0,174.0,0.0113355500170111,0.9673333333333334,0.8834355828220859,0.8275862068965517,0.8545994065281899
5,4,6001.0,1499.0,173.0,0.0109266919692118,0.9733155436957972,0.9030303030303032,0.861271676300578,0.8816568047337279
10,0,6749.0,751.0,87.0,0.0112247947943644,0.9826897470039948,0.9204545454545454,0.9310344827586208,0.9257142857142858
10,1,6750.0,750.0,87.0,0.0108979228579331,0.98,0.9186046511627908,0.9080459770114944,0.9132947976878611
10,2,6750.0,750.0,87.0,0.0121559919137581,0.9586666666666668,0.8333333333333334,0.8045977011494253,0.8187134502923976
10,3,6750.0,750.0,87.0,0.0107196683256644,0.9626666666666668,0.8314606741573034,0.8505747126436781,0.8409090909090909
10,4,6750.0,750.0,87.0,0.009828067763597,0.972,0.8928571428571429,0.8620689655172413,0.8771929824561403
10,5,6750.0,750.0,87.0,0.0105458964569413,0.9706666666666668,0.9012345679012346,0.8390804597701149,0.8690476190476191
10,6,6750.0,750.0,87.0,0.011267712968384,0.964,0.8658536585365854,0.8160919540229885,0.8402366863905325
10,7,6750.0,750.0,87.0,0.0114115978238273,0.968,0.8987341772151899,0.8160919540229885,0.8554216867469879
10,8,6750.0,750.0,87.0,0.0114320614778932,0.984,0.9310344827586208,0.9310344827586208,0.9310344827586208
10,9,6751.0,749.0,86.0,0.0103999217212198,0.9639519359145527,0.8734177215189873,0.8023255813953488,0.8363636363636363
