threshold,tp,fp,fn,tn,accuracy,precision,recall,f1,tpr,fpr
0.0,869,6631,0,0,0.11586666666666667,0.11586666666666667,1.0,0.20767116740351296,1.0,1.0
0.01,869,6620,0,11,0.11733333333333333,0.1160368540526105,1.0,0.20794448432639387,1.0,0.9983411250188509
0.02,869,6600,0,31,0.12,0.11634756995581738,1.0,0.20844327176781002,1.0,0.9953249886894887
0.03,869,6573,0,58,0.1236,0.11676968556839559,1.0,0.20912044278666828,1.0,0.9912532046448499
0.04,869,6532,0,99,0.12906666666666666,0.1174165653290096,1.0,0.2101571946795647,1.0,0.9850701251696576
0.05,869,6485,0,146,0.13533333333333333,0.11816698395431058,1.0,0.2113583850176335,1.0,0.9779822047956568
0.06,869,6412,0,219,0.14506666666666668,0.11935173739870897,1.0,0.2132515337423313,1.0,0.9669733071934852
0.07,869,6323,0,308,0.15693333333333334,0.12082869855394883,1.0,0.21560600421783896,1.0,0.9535515005278239
0.08,869,6242,0,389,0.16773333333333335,0.12220503445366333,1.0,0.21779448621553882,1.0,0.9413361483939074
0.09,869,6149,0,482,0.18013333333333334,0.1238244514106583,1.0,0.2203626220362622,1.0,0.9273111144623737
0.1,869,6046,0,585,0.19386666666666666,0.12566883586406363,1.0,0.22327852004110998,1.0,0.911778012366159
0.11,869,5946,0,685,0.2072,0.12751283932501833,1.0,0.22618427902134305,1.0,0.8966973307193485
0.12,869,5835,0,796,0.222,0.12962410501193317,1.0,0.22949953783177077,1.0,0.879957774091389
0.13,869,5718,0,913,0.2376,0.13192652193714893,1.0,0.2331008583690987,1.0,0.8623133765646207
0.14,869,5600,0,1031,0.25333333333333335,0.1343329726387386,1.0,0.23684927773235218,1.0,0.8445181722213844
0.15,869,5472,0,1159,0.2704,0.1370446301845135,1.0,0.24105409153952845,1.0,0.8252148997134671
0.16,869,5345,0,1286,0.28733333333333333,0.13984551013839716,1.0,0.24537625300014118,1.0,0.8060624340220178
0.17,869,5211,0,1420,0.3052,0.14292763157894736,1.0,0.2501079291984458,1.0,0.7858543206152918
0.18,869,5085,0,1546,0.322,0.14595230097413503,1.0,0.25472665982705556,1.0,0.7668526617403106
0.19,869,4945,0,1686,0.3406666666666667,0.14946680426556588,1.0,0.2600628460272333,1.0,0.745739707434776
0.2,869,4832,0,1799,0.35573333333333335,0.15242939835116645,1.0,0.26453576864535766,1.0,0.7286985371738802
0.21,869,4709,0,1922,0.3721333333333333,0.1557906059519541,1.0,0.2695827516674422,1.0,0.7101492987483035
0.22,869,4583,0,2048,0.38893333333333335,0.15939104915627292,1.0,0.2749564942255972,1.0,0.6911476398733223
0.23,869,4438,0,2193,0.40826666666666667,0.16374599585453176,1.0,0.2814119170984456,1.0,0.6692806514854471
0.24,869,4325,0,2306,0.42333333333333334,0.1673084328070851,1.0,0.28665677057562267,1.0,0.6522394812245513
0.25,869,4210,0,2421,0.43866666666666665,0.1710966725733412,1.0,0.29219905850706124,1.0,0.6348966973307193
0.26,869,4081,0,2550,0.45586666666666664,0.17555555555555555,1.0,0.29867674858223064,1.0,0.6154426180063339
0.27,869,3938,0,2693,0.4749333333333333,0.18077803203661327,1.0,0.3062015503875969,1.0,0.593877243251395
0.28,869,3820,0,2811,0.49066666666666664,0.1853273619108552,1.0,0.31270241093918677,1.0,0.5760820389081587
0.29,869,3696,0,2935,0.5072,0.19036144578313252,1.0,0.31983805668016196,1.0,0.5573819936661137
0.3,869,3560,0,3071,0.5253333333333333,0.196206818694965,1.0,0.3280483201208003,1.0,0.5368722666264515
0.31,869,3448,0,3183,0.5402666666666667,0.20129719712763494,1.0,0.33513305052063247,1.0,0.5199819031820239
0.32,869,3339,0,3292,0.5548,0.20651140684410646,1.0,0.3423281465432342,1.0,0.5035439601870004
0.33,869,3215,0,3416,0.5713333333333334,0.21278158667972577,1.0,0.3508984453866344,1.0,0.4848439149449555
0.34,869,3104,0,3527,0.5861333333333333,0.2187264032217468,1.0,0.35894258570838494,1.0,0.4681043583169959
0.35,869,2987,0,3644,0.6017333333333333,0.2253630705394191,1.0,0.3678306878306878,1.0,0.4504599607902277
0.36,869,2891,0,3740,0.6145333333333334,0.23111702127659575,1.0,0.3754590624324908,1.0,0.4359825064092897
0.37,869,2797,0,3834,0.6270666666666667,0.23704309874522642,1.0,0.3832414553472988,1.0,0.4218066656612879
0.38,869,2715,0,3916,0.638,0.24246651785714285,1.0,0.39029867505052773,1.0,0.4094405067109033
0.39,869,2621,0,4010,0.6505333333333333,0.24899713467048712,1.0,0.39871530167469604,1.0,0.3952646659629015
0.4,869,2521,0,4110,0.6638666666666667,0.2563421828908555,1.0,0.4080770133834234,1.0,0.3801839843160911
0.41,869,2436,0,4195,0.6752,0.2629349470499244,1.0,0.41638715860086256,1.0,0.3673654049163022
0.42,869,2348,0,4283,0.6869333333333333,0.2701274479328567,1.0,0.42535487028879104,1.0,0.35409440506710904
0.43,869,2251,0,4380,0.6998666666666666,0.27852564102564104,1.0,0.43569816996741034,1.0,0.3394661438697029
0.44,869,2180,0,4451,0.7093333333333334,0.2850114791734995,1.0,0.44359367023991836,1.0,0.3287588599004675
0.45,869,2089,0,4542,0.7214666666666667,0.2937795807978364,1.0,0.454141625293964,1.0,0.31503543960187
