optimizer,lr,n_corridas,total_epochs_mean,total_epochs_std,train_loss_final_mean,train_loss_final_std,val_loss_final_mean,val_loss_final_std,train_acc_final_mean,train_acc_final_std,val_acc_final_mean,val_acc_final_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std
momentum,0.0001,25,70.0,0.0,0.11628619215158098,0.003535241831579444,0.23316469576422466,0.01893841231147561,0.9692786593441646,0.0014396579190990634,0.9365724380045393,0.004481313642665069,0.834090805516634,0.007201015799358706,0.8242341276441129,0.007427444719622529,0.8282605189110575,0.0060780572421873305
momentum,0.0005,25,70.0,0.0,0.01266445780978847,0.000565204365241481,0.21753835268873392,0.025827811440177185,0.9993413025262682,0.00018123760151526365,0.9498751876214526,0.0035648653489077334,0.8461841878756681,0.006052179300561714,0.8414755932914256,0.00657949745995464,0.8434546860989984,0.005444770444502636
momentum,0.001,25,70.0,0.0,0.0035153898356956002,0.0001060427394937095,0.23467063561265072,0.029328827524656063,1.0,0.0,0.9513853964905999,0.004067069377623894,0.8481322848260988,0.00633926643931214,0.8433162719519274,0.006525489483342577,0.8454197901745687,0.005846363603855448
momentum,0.005,25,70.0,0.0,0.00032685745760126797,6.403356053333132e-06,0.2714303620741848,0.036904264778437466,1.0,0.0,0.9551923506776747,0.004091179336665561,0.8516905028076331,0.005798733458856695,0.8474104930265676,0.006278724588204949,0.8492913300281778,0.005490407657850159
momentum,0.01,25,70.0,0.0,0.000134606675517648,2.805383389182864e-06,0.28039945240032554,0.03786290262690678,1.0,0.0,0.9570074256668442,0.004595204019913165,0.8538933081000324,0.007145864738340403,0.8499888464728454,0.006877968932419345,0.8516858379909046,0.00648876012715879
adam,0.0001,25,70.0,0.0,7.371809091434424e-06,2.3798004953426806e-06,0.3186376494346083,0.048322419365276495,1.0,0.0,0.957088334571058,0.0048176608914598405,0.8536446537841313,0.0070441713180840835,0.8495137641954513,0.0068971173500246945,0.8512894252319078,0.006325316740511299
adam,0.0005,25,70.0,0.0,1.298849512538522e-06,4.48885085800405e-06,0.36124967444963013,0.05278530272686627,1.0,0.0,0.9607836706474515,0.00385367317168124,0.8581249550414242,0.005846125938813761,0.8534693110025586,0.00659811214755832,0.8555331275978482,0.005736617404787059
adam,0.001,25,70.0,0.0,5.713070965082651e-08,1.1531467473819802e-07,0.34962945936976764,0.053826965490084325,1.0,0.0,0.9637714051805787,0.004729730945256756,0.8619255064714841,0.007321476618663608,0.8566635652464892,0.007334899735340522,0.8590151283610922,0.006934491471324349
adam,0.005,25,70.0,0.0,0.03823937429054641,0.01949670282966124,0.6743422939094128,0.10925414749729921,0.9917102905977964,0.002711679463755102,0.9502275823667611,0.004522113322254971,0.8523241664088907,0.005368189641579285,0.8429395697146276,0.008317817657915994,0.8467280808226133,0.006544680950373301
adam,0.01,25,70.0,0.0,0.21554475940790446,0.08735530675856794,0.6549803389481247,0.1190121859901796,0.9308832461025883,0.022352732365168607,0.8958416506832085,0.020021895322004546,0.8367793695994533,0.017837001700587576,0.7758395051483211,0.020760639594441944,0.7886914316029008,0.027594228109160745
