opt,arch,best_lr,val_acc_mean_seeds_folds,val_acc_std_seeds_folds,macro_f1_mean_seeds_folds,val_loss_CE_mean_seeds_folds,best_epoch_mean
sgd,arch_shallow,0.01,0.950867479402937,0.0052790113826305,0.8444185792559156,0.1942455387533003,18.6
sgd,arch_base,0.01,0.9475737346386812,0.0047270415876189,0.8407287490895005,0.2061108225071259,9.133333333333333
sgd,arch_wider,0.01,0.94984934443085,0.0052597054125661,0.8444900650997135,0.2018515932253273,8.933333333333334
sgd,arch_deeper,0.01,0.9462870663541452,0.0036107173402987,0.8394293772094269,0.2152608677063322,5.933333333333334
momentum,arch_shallow,0.01,0.954349316797718,0.0062272360755554,0.8498996253065031,0.2341394028869553,4.733333333333333
momentum,arch_base,0.005,0.9505968177109784,0.0038792164148739,0.843673021529621,0.2121152336184152,3.0
momentum,arch_wider,0.01,0.9540006903748371,0.0060654097026059,0.8478161740519238,0.2190735493267795,3.2
momentum,arch_deeper,0.005,0.9499539026237714,0.0071643612366253,0.8428871321602993,0.2153502875211957,2.8
adam,arch_shallow,0.001,0.957239596231495,0.0041214043959872,0.8521225844066442,0.1700749247233624,5.733333333333333
adam,arch_base,0.001,0.9547759126527294,0.0043717109715242,0.8493065057424674,0.175050052518617,3.466666666666667
adam,arch_wider,0.001,0.9583116871240774,0.0035959532557052,0.8536635869158157,0.1700948379990134,3.4
adam,arch_deeper,0.001,0.9534910742681716,0.0078077853672539,0.8475592598247909,0.1820984877582457,3.3333333333333335
