optimizer,lr,seed,fold,n_train,n_val,total_epochs,best_epoch,train_loss_final,val_loss_final,train_acc_final,val_acc_final,macro_precision,macro_recall,macro_f1,weighted_f1,time_seconds,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision_2,recall_2,f1_2,precision_3,recall_3,f1_3,precision_4,recall_4,f1_4,precision_5,recall_5,f1_5,precision_6,recall_6,f1_6,precision_7,recall_7,f1_7,precision_8,recall_8,f1_8,precision_9,recall_9,f1_9
momentum,0.0001,42,0,9956.0,2493.0,70.0,69.0,0.118936184278661,0.2437217301605743,0.9678585777420652,0.933012434817489,0.8268872632892688,0.8299915820783277,0.8281712494489343,0.932963757742144,6.1642889976501465,0.9694915254237289,0.9662162162162162,0.9678510998307952,0.9620991253644317,0.9792284866468842,0.9705882352941178,0.906148867313916,0.9395973154362416,0.9225700164744646,0.953900709219858,0.8762214983713354,0.9134125636672328,0.915824915824916,0.9315068493150684,0.9235993208828523,0.7758620689655172,0.8181818181818182,0.7964601769911505,0.9630872483221476,0.9695945945945946,0.9663299663299664,0.923809523809524,0.926751592356688,0.9252782193958664,0.0,0.0,0.0,0.8986486486486487,0.8926174496644296,0.8956228956228955
momentum,0.0001,42,1,9958.0,2491.0,70.0,69.0,0.1175545327152927,0.2545320467874291,0.9680658766820648,0.9381774387796066,0.8278812514741913,0.8243970761461965,0.8260016458580155,0.9378849621692212,6.13142204284668,0.9534883720930232,0.9695945945945946,0.9614740368509214,0.967930029154519,0.9851632047477744,0.9764705882352942,0.9285714285714286,0.9161073825503356,0.9222972972972974,0.9344262295081968,0.9283387622149836,0.931372549019608,0.9273356401384084,0.9178082191780822,0.9225473321858862,0.7450980392156863,0.7037037037037037,0.7238095238095239,0.95578231292517,0.9493243243243245,0.9525423728813558,0.9353846153846154,0.9712460063897764,0.9529780564263324,0.0,0.0,0.0,0.9307958477508652,0.9026845637583892,0.9165247018739352
momentum,0.0001,42,2,9960.0,2489.0,70.0,69.0,0.1149458113346192,0.2217993820676423,0.9707831325301204,0.9321012454801124,0.8374935176015349,0.81529175829508,0.8239574283071345,0.93149082681107,6.107339859008789,0.953020134228188,0.9594594594594594,0.956228956228956,0.9702380952380952,0.9673590504451038,0.9687964338781576,0.9429530201342282,0.9429530201342282,0.9429530201342282,0.9242902208201892,0.9575163398692812,0.9406099518459068,0.9130434782608696,0.934931506849315,0.9238578680203046,0.9210526315789472,0.6481481481481481,0.7608695652173912,0.9368770764119602,0.9527027027027029,0.9447236180904524,0.9215686274509804,0.9009584664536742,0.911147011308562,0.0,0.0,0.0,0.8918918918918919,0.8888888888888888,0.8903878583473861
momentum,0.0001,42,3,9960.0,2489.0,70.0,69.0,0.1180363541738215,0.2424927021602846,0.9683734939759036,0.933306548814785,0.837947432772936,0.809921142752392,0.8199473540486248,0.9323820258813726,6.0968639850616455,0.9471947194719472,0.9695945945945946,0.9582637729549248,0.9676470588235294,0.9762611275964392,0.9719350073855244,0.91156462585034,0.8993288590604027,0.9054054054054056,0.8868501529051988,0.9477124183006536,0.9162717219589256,0.943661971830986,0.9178082191780822,0.9305555555555556,0.9117647058823528,0.5740740740740741,0.7045454545454545,0.9533333333333334,0.9662162162162162,0.9597315436241612,0.9577922077922078,0.9424920127795527,0.9500805152979066,0.0,0.0,0.0,0.8996655518394648,0.9057239057239056,0.9026845637583892
momentum,0.0001,42,4,9962.0,2487.0,70.0,69.0,0.1209858693567388,0.2220391862626939,0.9689821321019876,0.9360675512665864,0.8326390173549804,0.82741852781507,0.8298197950153989,0.9359491737502804,6.085902690887451,0.9689655172413794,0.9493243243243245,0.9590443686006828,0.967930029154519,0.9851632047477744,0.9764705882352942,0.9403508771929824,0.9023569023569024,0.9209621993127148,0.9283387622149836,0.931372549019608,0.929853181076672,0.9102990033222592,0.9383561643835616,0.924114671163575,0.82,0.7592592592592593,0.7884615384615384,0.9590443686006824,0.952542372881356,0.95578231292517,0.9235668789808916,0.926517571884984,0.9250398724082934,0.0,0.0,0.0,0.9078947368421052,0.9292929292929292,0.91846921797005
momentum,0.0001,7,0,9956.0,2493.0,70.0,69.0,0.1152421186688038,0.2211895191788881,0.9691643230212936,0.937424789410349,0.8355345600926094,0.823016362746573,0.8284725710933486,0.9370249295255216,6.108091831207275,0.9563758389261744,0.9628378378378378,0.9595959595959596,0.9591836734693876,0.9762611275964392,0.9676470588235292,0.9450171821305842,0.9228187919463088,0.933786078098472,0.926751592356688,0.9478827361563518,0.9371980676328502,0.9215017064846416,0.9246575342465754,0.9230769230769232,0.8444444444444444,0.6909090909090909,0.7599999999999999,0.9593220338983052,0.956081081081081,0.957698815566836,0.9367088607594936,0.9426751592356688,0.9396825396825396,0.0,0.0,0.0,0.906040268456376,0.906040268456376,0.906040268456376
momentum,0.0001,7,1,9958.0,2491.0,70.0,69.0,0.1210215704613802,0.1969344170084284,0.9683671419963849,0.944199116820554,0.8437882866619437,0.8357645751046838,0.8394287606886797,0.9439979110214246,6.114131927490234,0.9732441471571908,0.983108108108108,0.9781512605042018,0.9651162790697676,0.9851632047477744,0.97503671071953,0.929530201342282,0.929530201342282,0.929530201342282,0.9153094462540716,0.9153094462540716,0.9153094462540716,0.9172185430463576,0.9486301369863014,0.9326599326599326,0.875,0.7777777777777778,0.823529411764706,0.9828767123287672,0.9695945945945946,0.9761904761904762,0.9485530546623794,0.9424920127795527,0.9455128205128206,0.0,0.0,0.0,0.9310344827586208,0.906040268456376,0.9183673469387756
momentum,0.0001,7,2,9960.0,2489.0,70.0,69.0,0.1091676896881461,0.2389843361436639,0.9713855421686748,0.9361189232623544,0.8317923829664945,0.8243034749393697,0.8276538133499102,0.9357669036233952,6.168562889099121,0.962457337883959,0.9527027027027029,0.9575551782682512,0.9708454810495628,0.9881305637982196,0.9794117647058824,0.9479166666666666,0.9161073825503356,0.931740614334471,0.9335548172757476,0.9183006535947712,0.9258649093904447,0.924914675767918,0.928082191780822,0.9264957264957264,0.8125,0.7222222222222222,0.7647058823529411,0.9352750809061487,0.9763513513513512,0.9553719008264464,0.9166666666666666,0.9488817891373802,0.932496075353218,0.0,0.0,0.0,0.913793103448276,0.8922558922558923,0.9028960817717206
momentum,0.0001,7,3,9960.0,2489.0,70.0,69.0,0.1136737699362108,0.23659983763044,0.9700803212851404,0.9381277621534752,0.8297019883764314,0.8263419296899471,0.8278629570149667,0.9380652079056812,6.279155969619751,0.9473684210526316,0.972972972972973,0.96,0.9761194029850746,0.9703264094955488,0.9732142857142858,0.9297658862876256,0.9328859060402684,0.931323283082077,0.9258064516129032,0.937908496732026,0.9318181818181818,0.9381443298969072,0.934931506849315,0.9365351629502574,0.7647058823529411,0.7222222222222222,0.7428571428571428,0.9655172413793104,0.945945945945946,0.955631399317406,0.9534883720930232,0.9169329073482428,0.9348534201954398,0.0,0.0,0.0,0.8961038961038961,0.9292929292929292,0.912396694214876
momentum,0.0001,7,4,9962.0,2487.0,70.0,69.0,0.1131960798274075,0.2662726688073447,0.9701867094960852,0.9316445516686772,0.8266344150780267,0.8207254822161341,0.823430270501866,0.931433048873488,6.296027183532715,0.944078947368421,0.9695945945945946,0.9566666666666668,0.9761904761904762,0.973293768545994,0.974739970282318,0.8980263157894737,0.9191919191919192,0.908485856905158,0.9292604501607716,0.9444444444444444,0.9367909238249597,0.9215017064846416,0.9246575342465754,0.9230769230769232,0.7959183673469388,0.7222222222222222,0.7572815533980582,0.9616724738675958,0.9355932203389832,0.9484536082474228,0.9331210191082804,0.9361022364217252,0.934609250398724,0.0,0.0,0.0,0.9065743944636678,0.8821548821548821,0.8941979522184301
