clase,n,e_mean,theta_class_ref,theta_centered_median,theta_centered_std,theta_centered_iqr,theta_centered_p5,theta_centered_p95,n_digits,n_more_digits,confiable
0,3256,0.35318990520299615,-58.49027073945713,1.289993994114198,28.814837360048834,32.30922998189985,-52.172809515520626,44.48214556883419,1480,1776,False
1,3707,0.935908237532196,-77.11622431294893,-0.23663021273118545,14.371733004832278,22.43663562248068,-22.673214095281367,22.991217282119294,1685,2022,True
2,3276,0.453064225730572,-79.84874702064393,0.5120390628279097,28.798671762711546,39.616639054204825,-49.86879975165447,40.95396886609967,1489,1787,True
3,3371,0.5523318170782634,-86.15010462035231,-0.2241799983469832,19.673325868693,28.106431635211386,-32.64324571160293,30.86165257223937,1532,1839,True
4,3212,0.3776610826547977,-79.08415069583401,-0.6380422898246536,40.777708044194334,61.57319036612498,-72.00822269313832,63.71317953743216,1460,1752,False
5,813,0.5303260237120306,-73.71058829235986,0.9792538268632569,23.507103989109535,37.22702835323928,-42.372109696174334,31.466358739957066,271,542,True
6,3254,0.44434906383482453,-88.39470207779777,1.889718400658957,26.634128244834482,31.47391847940791,-54.35796657010735,33.527156842065885,1479,1775,True
7,3445,0.5192176558222823,-88.24170525271741,0.6734943490316709,24.900770308415034,33.21021747945049,-45.088605736929665,33.49687025341846,1566,1879,True
8,585,0.5696268784014773,-77.34664039259607,0.23846508334771954,19.035677945689677,25.589040110016228,-32.573572912227256,27.658770466148297,0,585,True
9,3271,0.5057993932540138,89.95522696332635,0.9149772283804509,23.437272210787132,32.52566403271256,-42.29148081304267,32.40432600192477,1487,1784,True
